,title,certification,rating,numStudent,difficulty,link,skills
0,Google IT Support,PROFESSIONAL CERTIFICATE,4.8,700k,Beginner,https://www.coursera.org/professional-certificates/google-it-support,DebuggingEncryption Algorithms and TechniquesCustomer ServiceNetwork ProtocolsCloud ComputingBinary CodeCustomer SupportLinuxTroubleshootingDomain Name System (DNS)Ipv4Network Model
1,IBM Data Science,PROFESSIONAL CERTIFICATE,4.6,670k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-science,Data ScienceStatistical AnalysisMachine LearningPython ProgrammingBusiness IntelligenceData AnalysisPandasNumpyCloud DatabasesIpythonRelational Database Management System (RDBMS)SQL
2,Deep Learning,SPECIALIZATION,4.8,950k,Intermediate,https://www.coursera.org/specializations/deep-learning,TensorflowConvolutional Neural NetworkArtificial Neural NetworkDeep LearningBackpropagationPython ProgrammingHyperparameterHyperparameter OptimizationMachine LearningInductive TransferMulti-Task LearningFacial Recognition System
3,Introduction to Data Science,SPECIALIZATION,4.6,440k,Beginner,https://www.coursera.org/specializations/introduction-data-science,Data ScienceRelational Database Management System (RDBMS)Cloud DatabasesPython ProgrammingSQLIpython
4,IBM Data Analyst,PROFESSIONAL CERTIFICATE,4.6,380k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst,Microsoft ExcelPython ProgrammingData AnalysisSQLIBM Cognos AnalyticsData ScienceSpreadsheetPivot TableData Visualization (DataViz)DashboardPandasNumpy
5,Python for Everybody,SPECIALIZATION,4.8,2.2m,Beginner,https://www.coursera.org/specializations/python,JsonXmlPython ProgrammingDatabase (DBMS)Python Syntax And SemanticsBasic Programming LanguageComputer ProgrammingData StructureTupleWeb ScrapingSqliteSQL
6,Machine Learning,COURSE,4.9,3.7m,Mixed,https://www.coursera.org/learn/machine-learning,Logistic RegressionArtificial Neural NetworkMachine Learning (ML) AlgorithmsMachine Learning
7,Data Science Fundamentals with Python and SQL,SPECIALIZATION,4.6,360k,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Data SciencePython ProgrammingJupyter NotebookStatisticsSQLData AnalysisPandasNumpyProbability And StatisticsRegression AnalysisData Visualization (DataViz)Statistical Hypothesis Testing
8,Key Technologies for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/key-technologies-for-business,Data ScienceArtificial Intelligence (AI)BusinessCloud ComputingtechnologyHybrid MulticludCloud NativeDevopsIaas PaaS SaasDeep LearningJobsMachine Learning
9,IBM AI Foundations for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Data ScienceArtificial Intelligence (AI)Information Technology (IT) ArchitectureData ArchitectureLeadershipDeep LearningJobsMachine LearningManagementAnalyticsInnovation
10,Google IT Support,PROFESSIONAL CERTIFICATE,4.8,700k,Beginner,https://www.coursera.org/professional-certificates/google-it-support,DebuggingEncryption Algorithms and TechniquesCustomer ServiceNetwork ProtocolsCloud ComputingBinary CodeCustomer SupportLinuxTroubleshootingDomain Name System (DNS)Ipv4Network Model
11,IBM Data Science,PROFESSIONAL CERTIFICATE,4.6,670k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-science,Data ScienceStatistical AnalysisMachine LearningPython ProgrammingBusiness IntelligenceData AnalysisPandasNumpyCloud DatabasesIpythonRelational Database Management System (RDBMS)SQL
12,Deep Learning,SPECIALIZATION,4.8,950k,Intermediate,https://www.coursera.org/specializations/deep-learning,TensorflowConvolutional Neural NetworkArtificial Neural NetworkDeep LearningBackpropagationPython ProgrammingHyperparameterHyperparameter OptimizationMachine LearningInductive TransferMulti-Task LearningFacial Recognition System
13,Introduction to Data Science,SPECIALIZATION,4.6,440k,Beginner,https://www.coursera.org/specializations/introduction-data-science,Data ScienceRelational Database Management System (RDBMS)Cloud DatabasesPython ProgrammingSQLIpython
14,IBM Data Analyst,PROFESSIONAL CERTIFICATE,4.6,380k,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst,Microsoft ExcelPython ProgrammingData AnalysisSQLIBM Cognos AnalyticsData ScienceSpreadsheetPivot TableData Visualization (DataViz)DashboardPandasNumpy
15,Python for Everybody,SPECIALIZATION,4.8,2.2m,Beginner,https://www.coursera.org/specializations/python,JsonXmlPython ProgrammingDatabase (DBMS)Python Syntax And SemanticsBasic Programming LanguageComputer ProgrammingData StructureTupleWeb ScrapingSqliteSQL
16,Machine Learning,COURSE,4.9,3.7m,Mixed,https://www.coursera.org/learn/machine-learning,Logistic RegressionArtificial Neural NetworkMachine Learning (ML) AlgorithmsMachine Learning
17,Data Science Fundamentals with Python and SQL,SPECIALIZATION,4.6,360k,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Data SciencePython ProgrammingJupyter NotebookStatisticsSQLData AnalysisPandasNumpyProbability And StatisticsRegression AnalysisData Visualization (DataViz)Statistical Hypothesis Testing
18,Key Technologies for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/key-technologies-for-business,Data ScienceArtificial Intelligence (AI)BusinessCloud ComputingtechnologyHybrid MulticludCloud NativeDevopsIaas PaaS SaasDeep LearningJobsMachine Learning
19,IBM AI Foundations for Business,SPECIALIZATION,4.7,460k,Beginner,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Data ScienceArtificial Intelligence (AI)Information Technology (IT) ArchitectureData ArchitectureLeadershipDeep LearningJobsMachine LearningManagementAnalyticsInnovation
20,DeepLearning.AI TensorFlow Developer,PROFESSIONAL CERTIFICATE,4.7,260k,Intermediate,https://www.coursera.org/professional-certificates/tensorflow-in-practice,Computer VisionConvolutional Neural NetworkMachine LearningNatural Language ProcessingTensorflowInductive TransferAugmentationDropoutsTokenizationRNNsForecastingTime Series
21,IBM Applied AI,PROFESSIONAL CERTIFICATE,4.6,350k,Beginner,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,Data ScienceArtificial Intelligence (AI)Machine LearningPython ProgrammingWatson (Computer)Deep LearningJobsApplication Programming Interfaces (API)watsonData AnalysisPandasNumpy
22,IBM Cybersecurity Analyst,PROFESSIONAL CERTIFICATE,4.5,130k,Beginner,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,information security analystIT security analystsecurity analystJunior cybersecurity analystInformation Security (INFOSEC)IBM New CollarMalwareCybersecurityCyber Attacksdatabase vulnerabilitiesNetwork SecuritySql Injection
23,Excel Skills for Business,SPECIALIZATION,4.9,550k,Beginner,https://www.coursera.org/specializations/excel,Data ValidationMicrosoft ExcelMicrosoft Excel MacroPivot TableGraphsSpreadsheetChartConcatenationConsolizationPivot ChartLookup TableMicrosoft Excel Vba
24,SRE and DevOps Engineer with Google Cloud,PROFESSIONAL CERTIFICATE,4.7,510k,Beginner,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,Google Compute EngineGoogle App Engine (GAE)Google Cloud PlatformCloud ComputingSRE CultureBusiness ValueOrganizational CultureDisaster RecoverySite Reliability EngineeringContinuous DeliveryKubernetesJenkins (Software)
25,Data Science,SPECIALIZATION,4.5,1.1m,Beginner,https://www.coursera.org/specializations/jhu-data-science,GithubMachine LearningR ProgrammingRegression AnalysisData ScienceRstudioData AnalysisDebuggingData ManipulationRegular Expression (REGEX)Data CleansingCluster Analysis
26,Natural Language Processing,SPECIALIZATION,4.6,62k,Intermediate,https://www.coursera.org/specializations/natural-language-processing,Sentiment AnalysisSiamese NetworksHidden Markov ModelTransformersAttention ModelsMachine TranslationWord EmbeddingsLocality-Sensitive HashingVector Space ModelsWord2vecParts-of-Speech TaggingN-gram Language Models
27,Technical Support Fundamentals,COURSE,4.8,570k,Beginner,https://www.coursera.org/learn/technical-support-fundamentals,Binary CodeCustomer SupportLinuxTroubleshooting
28,Architecting with Google Kubernetes Engine,SPECIALIZATION,4.7,440k,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,Google Compute EngineGoogle App Engine (GAE)Google Cloud PlatformCloud Computing
29,Google Cloud Security,PROFESSIONAL CERTIFICATE,4.7,450k,Intermediate,https://www.coursera.org/professional-certificates/google-cloud-security,Google Compute EngineGoogle App Engine (GAE)Google Cloud PlatformCloud ComputingCreate and understand custom IAM rolesSecure a Kubernetes environmentCreate and configure network peering
30,Google IT Support,PROFESSIONAL CERTIFICATE,4.8,700k,Beginner,https://www.coursera.org/professional-certificates/google-it-support,DebuggingEncryption Algorithms and TechniquesCustomer ServiceNetwork ProtocolsCloud ComputingBinary CodeCustomer SupportLinuxTroubleshootingDomain Name System (DNS)Ipv4Network Model
