,Title,Location,Description
0,Data Scientist,Chandlers Ford,"As an experienced Data Scientist, you will use advanced data analysis techniques to recommend improvements across all company activities."
1,Data Scientist Intern,London,You’ll help support the Buzz Radar product roadmap by helping our data analysts research new data sources and latest analysis techniques.
2,Data Scientist,Shaftesbury,"An important part of data science is extracting, transforming and loading data which requires excellent programming and scripting skills."
3,Data Scientist,London,"Strong working knowledge of machine learning models, data mining.This role is being created to support Development & Innovation develop and explore new…"
4,Data Scientist / Software Developer,Abingdon,"Using data science, analytics and a variety of analytical, statistical or machine learning techniques to interpret client data, helping them to make better…"
5,"Data Scientist, Financial Crime",London,"This means detecting patterns and anomalies in our data, working either from upstream intelligence, observations from financial crime investigators, or directly…"
6,Data Scientist – Team Lead,London,"Job Overview Expiration date: 22nd June 2020 Location: London Job Title: Data Scientist – Team Lead Salary: £75,000 - £95…"
7,Data Scientist (Apprentice),United Kingdom,"We employ 5,500 staff (full-time equivalent), mostly scientists, researchers and public health professionals.We are responsible for improving the health of the…"
8,Data Scientist R&D Raman Spectroscopy,Harwell OX11 0RA,As a Data Scientist for Raman Spectroscopy across hardware and software you will be responsible for designing and implementing processes and solutions…
9,Graduate Machine Learning Engineer (Trust and Safety) - 2021...,London,"Good understanding of data structures and algorithms;Developing highly-scalable classifiers, tools, models and algorithms leveraging cutting-edge machine…"
10,Data Scientist,London,The primary focus of this role will be to make a significant contribution in the research and development of Argus’ Automatic Machine Learning (ML) and…
11,Junior Data Scientist,London,"Being a data scientist would require the ability to analyse big data sets coming from heterogeneous producers both in real time and offline, as well as to apply…"
12,Fraud Data Scientist,Birmingham,"Work on upstream data cleansing including data wrangling, developing extract transformation loads for heterogeneous data, integrating and automating ingestion…"
13,Data Scientist,Glasgow,"Create, review and maintain datasets for use in Castlight data products, e.g. manually classify CaaS training set data.SQL for data access and retrieval."
14,Data Science Apprenticeship (Jan 2021 Start),Nottingham,"You don’t need to have any previous tech experience, nor education in data science.Direct experience is not necessary, but a passion for technology, data and…"
15,Data Scientist - Restaurants Product,London,"Data scientists at Deliveroo report into our data science management team, and we have a strong, active data science community, with guest lecturers; a robust…"
16,Graduate Data Scientist,Cambridge,"Collect and manipulate data via python scripting.Investigate, assess and implement new data science methodologies.No individual owns the right answer."
17,"Research Data Scientist, Intern - Infrastructure Strategy",London,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2 or similar.Experience with Machine Learning, Statistics, or other data…"
18,Senior Data Scientist,Home Based,"Mentoring junior engineers and data scientist.Co-operate with cross-functional teams of data scientists, user researchers, product managers, designers and…"
19,Data Science and Engineering Graduate Programme,London,"Our vision is to build a world class “data-driven” organisation that rivals our competitors and inspires our employees, leveraging a revolutionary Data…"
20,Data Scientist,London,Develop and iterate on cutting-edge data pipelines and data models in production to ensure data integrity and efficiency.
21,Higher Statistical Data Scientist - across the GSS,London,"Knowledge of data processing to support analysis.Access data sources from government systems as well as new material from surveys, social media, and data…"
22,Data Scientist,Portsmouth PO6,"Strong communication skills are essential to regularly deal with the business, as well as with specialists from related fields, including project managers,…"
23,Forward Deployed Data Scientist,Coulsdon CR5 2YH,"Development of analytic (data science, machine learning, and data visualization) prototypes and capabilities to support our clients."
