,title,date,company,rating,salary,location,summary,requirements
0,Data Scientist,Just posted,Utilita,2.7,"£28,863 a year",Chandlers Ford,"As an experienced Data Scientist, you will use advanced data analysis techniques to recommend improvements across all company activities.",
1,Data Scientist Intern,30+ days ago,Buzz Radar,,,London,You’ll help support the Buzz Radar product roadmap by helping our data analysts research new data sources and latest analysis techniques.,
2,Data Scientist,4 days ago,Trakm8,3.5,,Shaftesbury,"An important part of data science is extracting, transforming and loading data which requires excellent programming and scripting skills.",
3,Data Scientist,6 days ago,Lloyds Banking Group,3.8,"£43,029 - £47,810 a year",London,"Strong working knowledge of machine learning models, data mining.This role is being created to support Development & Innovation develop and explore new…",
4,Data Scientist / Software Developer,30+ days ago,Tessella,,,Abingdon,"Using data science, analytics and a variety of analytical, statistical or machine learning techniques to interpret client data, helping them to make better…",
5,"Data Scientist, Financial Crime",3 days ago,Mettle,,,London,"This means detecting patterns and anomalies in our data, working either from upstream intelligence, observations from financial crime investigators, or directly…",
6,Data Scientist – Team Lead,30+ days ago,SoulTek,,"£75,000 - £95,000 a year",London,"Job Overview Expiration date: 22nd June 2020 Location: London Job Title: Data Scientist – Team Lead Salary: £75,000 - £95…",
7,Data Scientist (Apprentice),10 days ago,Public Health England,3.6,"£28,588 - £39,691 a year",United Kingdom,"We employ 5,500 staff (full-time equivalent), mostly scientists, researchers and public health professionals.We are responsible for improving the health of the…",
8,Data Scientist R&D Raman Spectroscopy,12 days ago,"Agilent Technologies, Inc.",4.1,,Harwell OX11 0RA,As a Data Scientist for Raman Spectroscopy across hardware and software you will be responsible for designing and implementing processes and solutions…,
9,Graduate Machine Learning Engineer (Trust and Safety) - 2021...,29 days ago,TikTok,4.1,,London,"Good understanding of data structures and algorithms;Developing highly-scalable classifiers, tools, models and algorithms leveraging cutting-edge machine…",
10,Data Scientist,4 days ago,Argus Media,3.5,,London,The primary focus of this role will be to make a significant contribution in the research and development of Argus’ Automatic Machine Learning (ML) and…,
11,Junior Data Scientist,30+ days ago,Novafutur,,,London,"Being a data scientist would require the ability to analyse big data sets coming from heterogeneous producers both in real time and offline, as well as to apply…",
12,Fraud Data Scientist,7 days ago,High Speed Two (HS2),3.6,,Birmingham,"Work on upstream data cleansing including data wrangling, developing extract transformation loads for heterogeneous data, integrating and automating ingestion…",
13,Data Scientist,10 days ago,Experian,3.7,,Glasgow,"Create, review and maintain datasets for use in Castlight data products, e.g. manually classify CaaS training set data.SQL for data access and retrieval.",
14,Data Science Apprenticeship (Jan 2021 Start),11 days ago,Experian,3.7,,Nottingham,"You don’t need to have any previous tech experience, nor education in data science.Direct experience is not necessary, but a passion for technology, data and…",
15,Data Scientist - Restaurants Product,12 days ago,Deliveroo,3.4,,London,"Data scientists at Deliveroo report into our data science management team, and we have a strong, active data science community, with guest lecturers; a robust…",
16,Graduate Data Scientist,4 days ago,Arm,4.2,,Cambridge,"Collect and manipulate data via python scripting.Investigate, assess and implement new data science methodologies.No individual owns the right answer.",
17,"Research Data Scientist, Intern - Infrastructure Strategy",7 days ago,Facebook,4.2,,London,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2 or similar.Experience with Machine Learning, Statistics, or other data…",
18,Senior Data Scientist,4 days ago,Spirable,,,Home Based,"Mentoring junior engineers and data scientist.Co-operate with cross-functional teams of data scientists, user researchers, product managers, designers and…",
19,Data Science and Engineering Graduate Programme,5 days ago,HSBC UK,4,,London,"Our vision is to build a world class “data-driven” organisation that rivals our competitors and inspires our employees, leveraging a revolutionary Data…",
20,Data Scientist,3 days ago,Tripledot Studios,,,London,Develop and iterate on cutting-edge data pipelines and data models in production to ensure data integrity and efficiency.,
21,Higher Statistical Data Scientist - across the GSS,3 days ago,UK Government - Government Statistical Service,,"£28,996 a year",London,"Knowledge of data processing to support analysis.Access data sources from government systems as well as new material from surveys, social media, and data…",
22,Data Scientist,4 days ago,Babcock,3.7,,Portsmouth PO6,"Strong communication skills are essential to regularly deal with the business, as well as with specialists from related fields, including project managers,…",
23,Forward Deployed Data Scientist,Today,Janes,,,Coulsdon CR5 2YH,"Development of analytic (data science, machine learning, and data visualization) prototypes and capabilities to support our clients.",
24,Epidemiologist / Health data scientist,25 days ago,University of Oxford,4.2,"£32,817 - £40,322 a year",Oxford,"You will work with statisticians and computer scientists to associate novel phenotypes, derived from wearable sensor time-series data, with clinical outcomes.",
25,Data Scientist,5 days ago,Wellcome Trust Sanger Institute,3.9,"£26,156 - £31,333 a year",Hinxton,We are approximately half way through this project and are looking for someone to join the team to help us analyse cancer DNA sequence data from Work Package 1…,
26,Epidemiology Data Scientist,30+ days ago,BAE Systems Applied Intelligence,3.5,,London,"Knowledge of principles and practice of surveillance, including data management, data transmission, data security, data quality, data analysis including…",
27,Postdoctoral Data Scientist,6 days ago,University of Oxford,4.2,"£32,817 - £40,322 a year",Oxford OX3 7LF,"You will carry out data processing, integration, analysis, presentation and interpretation of multi-omic and clinical data as well as develop informatics…",
28,Chief Data Scientist,Today,ITV Jobs,4,,London,Able to communicate and lead a technical team of data scientists and provide thought leadership on breadth and depth of ML techniques and technologies.,
29,Data Scientist,30+ days ago,Amazon Digital UK Limited,3.6,,London,"Experience with data scripting languages (e.g. SQL, Python, R etc.).Excellent verbal/written communication & data presentation skills, including an ability to…",
30,Commercial Data Scientist,30+ days ago,Opus Energy,3.1,"£55,000 - £65,000 a year",London,"This will mean using big data and data science, and the rest of your technical data skills and knowledge, to develop and implement appropriate models and…",
31,"Newton, Data Scientist",23 days ago,BNY Mellon,3.5,,London,"Providing key input to continued development and research efforts in the area of investment themes, the data scientist will provide analytical expertise and…",
32,Data Scientist – AI/ML Quant,4 days ago,Argus Media,3.5,,London,The primary focus of this role will be to make a significant contribution in the research and development of Argus’ Automatic Machine Learning (ML) and…,
33,Graduates - Actuarial and Data Science,10 days ago,Somerset Bridge Group,,"£28,000 a year",Bristol,Graduates – actuarial and data science.Identifying new data sources suitable for analysis and implementation.Employment Type - Full Time - Permanent.,
34,Data Scientist,25 days ago,BT,3.8,,Birmingham,"Mines and analysis big data sets, leveraging data science skills and techniques to deliver business benefit.Techniques. You will mine and analyse big data sets…",
35,Data Scientist,5 days ago,Simply Business,3.2,,London,At least two years experience as data scientist.Proficiency with SQL and data wrangling.Proficiency with data visualization and business storytelling.,
36,AI/ML - Machine Learning Internship,Just posted,Apple,4.2,,Cambridge,"As part of Apple's Machine Learning and AI team, we transform every Apple product and because we fully integrate hardware and software, we can collaborate to…",
37,Senior Statistical Data Scientist - across the GSS,3 days ago,UK Government - Government Statistical Service,,"£34,090 a year",London,"Additional examples might include supervised / unsupervised machine learning for complex data sets, or Natural Language Processing to structure data for…",
38,Graduate Data Scientist,30+ days ago,KANTAR,3.7,,London,"Working to expand the frontiers of the Worldpanel Plus service by testing new analytical ideas, creating more intelligent methods of data processing and…",
39,Data Scientist,30+ days ago,Zopa Limited,2.3,,London,"You will also support other data scientists by knowledge sharing, code review, collaboration on common utilities and analytical infrastructure.",
40,Football Data Scientist,25 days ago,Data Talent,,"£50,000 - £60,000 a year",London,Analysing large quantities of football data.Involved in scraping and collection of data.Have example football related data science/analytics side projects to…,
41,Insights Data Scientist,30+ days ago,SoulTek,,"£45,000 - £60,000 a year",London,"Job Overview Expiration date: 31st July 2020 Location: London Job Title: Insights Data Scientist Salary: £45,000 - £60…",
42,Insights Data Scientist - Maternity Cover,Today,Babylon Health,2.8,,London,"You will work with stakeholders from Product, Commercial or Marketing teams as well as other data scientists and analysts.Deep dives into our AI products.",
43,Data Scientist,Just posted,Blue Pelican,2.7,"£50,000 - £65,000 a year",London,"A strong background in leveraging data science techniques to solve commercial business problems, specifically in relation to customer marketing and pricing.",
44,2021 UK Graduate Data Scientist,28 days ago,Mott MacDonald,3.9,,London,Designing and implementing data ETL processes.Presenting information using data visualisation techniques.Applying AI and advanced analytics to large data sets…,
45,Data Scientist,3 days ago,Harnham,4.6,£500 - £600 a day,London,A chance to use working for a retailers on a number of NLP focused projects using Python.They are looking for a motivated individual who enjoys working in a…,
46,Data Analytics Statistician/Data Scientist,30+ days ago,Lubrizol Corporation,3.9,,Hazelwood DE56 4AN,Collaborate and consult with data scientists and subject-area experts on statistics and data analytics problems.Highly skilled in R or Python.,
47,Data Scientist,5 days ago,Tetra Pak,4.2,,Windsor,Solid understanding of data structures and common methods in data transformation.We are embarking on a major transformation to become more data driven and we…,
48,"Data Scientist, Consulting, EY, Belfast",13 days ago,EY,4,,Belfast,"Used a data visualisation technology, like Tableau, Power BI or Qlik.Worked with open source data science libraries and understand how to apply them to various…",
49,"Data Scientist, Machine Learning",15 days ago,Monzo,3.8,,London,Explore. We use BigQuery and Jupyter Notebooks to analyse data and design machine learning models for offline evaluation.,
50,Data Scientist,19 days ago,Current Health Careers,,,Edinburgh EH1 3LY,Experience in presenting data driven decisions to non-technical people.You will have proven experience using both labelled and unlabelled data to build models.,
51,Geospatial Data Scientist,30+ days ago,Jacobs,3.9,,Reading,"Effective communication of data and its meaning through visualisation, including data visualisation software (e.g. Tableau) and libraries (e.g. Python/R and…",
52,Data Scientist/Engineer Internship 2021,30+ days ago,Procter & Gamble,4.2,,Reading,"In this role, you will be developing and maintaining minimal viable prototypes to scalable data pipelines that will ingest, transform and distribute numerous…",
53,Data Scientist,26 days ago,Refinitiv,3.6,,London,"Ability to track down complex data quality and data integration issues, evaluate different algorithmic approaches, and analyze data to solve problems.",
54,Data Scientist - Causal Inference,12 days ago,Deliveroo,3.4,,London,Our team members use technical skills from the whole spectrum of data science: building analytical tools; informing decision making at all levels of the…,
55,Data Science Intern,30+ days ago,Echobox,,,London,"Lead the entire life-cycle of a cutting edge AI/ML project.Create and execute a presentation for your project, to be delivered in front of the tech team.",
56,Data Scientist,30+ days ago,QuEST Global Engineering,3.3,,London,1.Data Scientist - Time series: Python.Predictive Analytics and maintenance.,
57,Data Scientist,30+ days ago,esure Services Limited,2.9,,Glasgow G2 6QQ,"Expert in mining large and complex data sets - both structured and unstructured extraction of data, transformation and application.",
58,Data Scientist - Simulations Chapter,5 days ago,GroupM Data & Technology,,,London,"Experience analysing large volumes of data and panel-based data.Exploratory data analysis, hypothesis testing, data preparation, and product prototyping based…",
59,"Data Scientist, Operations",30+ days ago,Monzo,3.8,"£49,000 - £80,000 a year",London,"90% of everyday data-driven decisions are covered by self-serve analytics through Looker, which gives data scientists the head space to focus on more impactful…",
60,"Data Scientist, Product",30+ days ago,Facebook,4.2,,London,"Building key data sets to empower operational and exploratory analysis.Apply your expertise in quantitative analysis, data mining, and the presentation of data…",
61,Customer Analytics Data Scientist,30+ days ago,PwC,4,,London,"Propose data science problem solving approaches.Prototype, test and improve new data science models.Strong technical expertise in data science, statistical…",
62,DATA SCIENCE CONSULTANT LONDON,30+ days ago,managementsolutions,,,London,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …",
63,Data Science Engineer,3 days ago,Uniper,,,Nottingham,"By harnessing data and modelling techniques, you will build customer-centric digital solutions that help optimise and improve decision making.",
64,Data Scientist - Applied Science,30+ days ago,causaLens,,,London W12 8EJ,This is a full-time placement with significant opportunities for personal development.Prototyping applied research that goes into the product.,
65,Data Science Graduate,12 days ago,ASDA,3.5,,Leeds LS11 5AD,"Working with open-source technologies like R and Python, you'll form part of a growing data community whose aim is to encourage the practice of objective data…",
66,"Visiting Scientist, Core Data Science",30+ days ago,Facebook,4.2,,London,"Experience doing empirical research using data analysis tools such as R or Python, with packages such as NumPy, SciPy, pandas, scikit-learn, tidyverse etc.",
67,Data Scientist,30+ days ago,Amazon Dev Centre (London) Ltd,3.6,,Bristol,Excited by using massive amounts of data to create sophisticated security analytics?You will enhance real-time proactive and preemptive systems using data…,
68,Data Scientist - Machine Learning,20 days ago,SoCode,,"£50,000 - £90,000 a year",London,Processing and modelling large data sets.Experience applying ML algorithms to real world data.Practical experience of handling large diverse data sets.,
69,Data Scientist,14 days ago,muzmatch,,"£30,000 - £40,000 a year",London,"You’ll work closely with our Data Scientist, User Acquisition Manager and Product Marketing Manager, to provide the analytics required to make this happen.",
70,Remote Data Scientist - Healthcare,11 days ago,IC Resources,4.7,,Bristol,"A background handling sensitive clinical data.They're looking for a remote Data Scientist in the UK, with the following background:",
71,Data Scientist – Dimensions,13 days ago,Digital Science,,,London,You can translate customer needs into feasible data analytics approaches.Demonstrable experience with data analytics on large (>10E8) datasets.,
72,"BMW Plant Hams Hall, Birmingham - Quality Data Scientist - 1...",21 days ago,BMW Hams Hall Motoren GmbH,3.9,"£18,500 a year",Hall,"Working with large data sets on big data platforms (e.g Hadoop, AWS, Spark).Experience with Excel and data visualisation tools, preferably PowerBI.",
73,Graduate Data Scientist (Cardiff-based International Analyti...,13 days ago,Admiral,3.5,,Cardiff CF10 2EH,"Educate other divisions and countries on best practices in data science.Remain up to date with trends in data science, proactively researching new skills and…",
74,"Data Scientist (Gaming, Python, R)",Today,Understanding Recruitment,,"£50,000 - £60,000 a year",Edinburgh,As Data Scientist you will be working closely with the Engineering and Research team to create and build tools to support decision making across all areas of…,
75,Computational Biologist / Data Scientist,30+ days ago,University of Glasgow,4.1,"£35,845 - £40,322 a year",Glasgow,"B1. Excellent data analysis and research skills.D2. Experience of working with virus data sets.C10. Experience with genomics, phylogenetics and evolutionary…",
76,Data Scientist,30+ days ago,Capgemini,3.8,,London,Knowledge of SQL for accessing and processing data.Data engineering - Understanding of data manipulation/wrangling techniques.Experience using Python or R.,
77,Data Scientist - Consulting Practice,26 days ago,PA Consulting Group,3.9,,London,Analysed live audio data to create individual sound zones.Data Architects - We’re experts in uncovering the real story buried in data.,
78,Applied Data Scientist,30+ days ago,IntelliSense.io,,,Cambridge,"Working with poor, noisy and/or limited data.As Applied Data Scientist you will develop world class models to optimise mining processes through our customer…",
79,Data Scientist,4 days ago,Nicholson Glover Consulting,,,London,At least 2 years’ experience with data manipulation and ML.You will play a pivotal role in the team delivering data-driven results and insights to improve the…,
80,Pricing Data Scientist,5 days ago,Vitality,3.1,,London EC3V,Demonstrable experience working as a pricing analyst or data scientist (or similar).We are looking for a Data Scientist to work on innovative Pricing…,
81,Data Scientist,30+ days ago,BGL Group,3.6,,Peterborough,"Collaborating closely with Pricing, Marketing, Capacity, and Digital teams to identify new data sources to optimise our capability.",
82,"Research Scientist, Natural Language Processing (PhD)",30+ days ago,Facebook,4.2,,London,"Our research spans multiple areas across NLP and machine learning, including deep learning/neural networks, machine translation, natural language understanding…",
83,Data Scientist,30+ days ago,Synamedia,,,Staines-upon-Thames,A good knowledge of analytics industry trends and data manipulation techniques.Have a passion for using data to tell stories and help customers solve high…,
84,ETF Capital Markets Data Scientist,30+ days ago,Lyxor,3.9,,London,"We are looking for someone with a keen interest in financial markets, experience in assessing large data sets and presenting information using data…",
85,NLP Data Scientist,2 days ago,Harnham,4.6,"£55,000 - £70,000 a year",London,You'll be working on various client projects using Natural Language Processing techniques to really understand what the customer is looking for from their…,
86,Data Science Intern,4 days ago,G-Research,3.7,,London,"Being a key point of contact for a wide array of data providers and internal consumers of data.Strong analytical capability, with a demonstrable interest in…",
87,"Data Scientist, Reliability Analytics",27 days ago,Google,4.3,,London,"Experience in working with large scale data systems for acquisition, storage, and management of complex data flow.",
88,Internship opportunities: Machine Learning for Visual Commun...,30+ days ago,Microsoft,4.2,,Reading,You will build and evaluate machine learning models and algorithms to solve real-world problems.You will be working closely with leading machine learning…,
89,Data Scientist - NLP,4 days ago,Harnham,4.6,"£65,000 - £70,000 a year",London,"Work on a range of NLP topics to help understand social media data, and sentiment of users.Harnham are currently working with a start-up in London who are…",
90,Chief Data Scientist - Outside IR35,27 days ago,Harnham,4.6,£600 - £700 a day,London,Client facing role working on data-science solutions.We are currently recruiting for a AI driven data science start up that is working with retailers to help…,
91,Data Scientist,30+ days ago,IQVIA,3.8,,London,"Experience in a commercial data science environment.Ability to work with data owners and cross-functional teams.(such as Git, JIRA etc).",
92,Principle Healthcare Informatic Data Scientists,4 days ago,AstraZeneca,4.1,,Cambridge CB2 8PA,"Expertise with clinical data standards, medical terminologies and controlled vocabularies used in healthcare data and ontologies.",
93,"Experienced Professional Data Scientist GB, Swindon Permanen...",30+ days ago,RWE Supply & Trading GmbH,4,,Swindon,"Knowledge of data mining and data cleaning techniques.Processing data (price, trade and fundamental data),.Experience using data visualisation tools (Plotly,…",
94,Data Scientist,30+ days ago,QBE,3.6,,London,The team consists of 11 experienced data scientists; and 15 pricing actuaries and pricing managers.An understanding of good data visualisation principles.,
95,Senior Data Analyst/Scientist,13 days ago,Marks & Spencer,3.9,,Paddington,"Manage relationships with our Big Data team, shaping our customer data strategy and productionising customer data models for ongoing stability & efficiency.",
96,Senior Data Scientist,24 days ago,Citrix,4,,Cambridge CB4 0FY,Strong academic background in a data science domain.Experience in data visualization interfaces (PowerBI/Tableau).,
97,Data and Analytics - Internship Programme,30+ days ago,NatWest Group,3.8,"£21,500 a year",London,"And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…",
98,Senior Data Scientist,30+ days ago,O2,3.7,,Slough,"Collaborating as required with equivalent data scientists in Group to build next generation models to power Aura in the UK, our artificial intelligence system,…",
99,MINI Plant Oxford - Data Scientist - 13 Month Placement (Jul...,12 days ago,BMW (UK) Manufacturing Ltd.,3.7,"£18,500 a year",Oxford,"Knowledge of data analysis and data mining techniques, and experience implementing them in code.Each year we offer a number of internship opportunities and are…",
100,NLP / Natural Language Processing Data Scientist,9 days ago,Expert Employment,,,London,"Machine Learning application to NLP / Natural Language Processing problems using NLP to classify English text, learn, process and respond using; Computational…",
101,Grade 7 - Senior Data Scientist,10 days ago,UK Government - Cabinet Office,3.9,"£54,700 - £60,635 a year",London,"Knowledge and experience of data privacy and ethical considerations when applying data science.Using your experience and expertise, you will have the…",
102,Senior Data Scientist,30+ days ago,Jefferson Maguire,3.5,,London,Ability to analyze data for a major production company.Has a strong understanding on the anlytical software platforms that not only harvest data but can…,
103,Machine Learning Intern,18 days ago,Samsung Electronics,4,,Staines-upon-Thames,It is expected that the successful applicant will currently be studying for a Master’s level degree or a doctorate in Computer Science or a related subject.,
104,Junior Data Science Consultant (4 months approx.),4 days ago,INRIX,3.5,,Altrincham,Experienced with making sense of noisy data.Extremely large-scale data sets describing personal mobility.Delivering impact in the smart-city space.,
105,Marketing Data Scientist - Placement Year (Start: July 2021),30+ days ago,HP,4,,Reading RG6 1PT,"Desire to work in a marketing data environment, and using data to drive marketing.Strong aptitude for understanding and analyzing large amounts of data from…",
106,Data Scientist,10 days ago,Unum UK,3.6,,Dorking,Demonstrates ability to create logical data models by combining data from multiple sources including internal and external data.,
107,Data Scientist - London,30+ days ago,MOLOCO,,,London,Data validation: verifying the first party data we obtain from ad exchange and the third party mobile app tracking solutions so that our campaign models get…,
108,Junior Data Scientist - Home based,30+ days ago,Informatiq Consulting,,"£30,000 a year",England,Experience of data validation and data interpretation.Liaise with customers to understand requirements and help them with data interpretation.,
109,Curious Data Scientists,30+ days ago,Camden A.I.,,,London,"Research and/or development experience in working with large data sets.Experience working with SQL and No-SQL databases, data visualization technologies and…",
110,Data Scientist,Today,Understanding Recruitment,,"£50,000 - £60,000 a year",London,"A proficiency in using Python is required and a keenness to develop your skills/knowledge within a team environment, contributing to an innovative games company…",
111,Data Scientist,30+ days ago,YOOX NET-A-PORTER GROUP,3.3,,London,"Work with stakeholders throughout the business to encourage a data-driven approach through the delivery of automated data products and accessible, actionable…",
112,"Senior Data Scientist, algorithm development",5 days ago,Expert Employment,,,London,Data Scientist required for a hands-on senior role analysing data and developing algorithms that will take real world instrumentation data and apply Machine…,
113,Research Intern (AI) - London,13 days ago,Facebook,4.2,,London,"Devise data-driven models of human behaviour.Ability to manipulate and analyse large scale, high-dimensionality data from varying sources.",
114,"Senior Data Scientist - Customer Care, Workforce Management",5 days ago,Deliveroo,3.4,,London,Our team members use technical skills from the whole spectrum of data science: building analytical tools; informing decision making at all levels of the…,
115,Data Scientist,14 days ago,University of Glasgow,4.1,"£35,845 - £40,322 a year",Glasgow,E8 Track record in the writing software for data processing and analysis.Knowledge and Skills Essential C1 Excellent data analysis and research skills.,
116,Machine Learning Data Engineer,5 days ago,University of Derby,3.9,"£25,217 - £30,046 a year",Matlock DE4,Research and implementation of data analytics.Basic Knowledge with GOM and its data output.The Associate will research and develop robust algorithms for data…,
117,Machine Learning Researcher,30+ days ago,Deep Planet,,,Oxford,Deep Planet is looking for a Machine Learning Researcher with Computer Vision experience.This role is remote or based in Oxford UK.,
118,"Data Scientist (Independent Gaming, Python)",Just posted,Understanding Recruitment,,"£50,000 - £55,000 a year",London,The company is based in Central London and has a sociable feel with retro games set up around the office (currently working remotely).,
119,Data Sciences & AI Graduate Programme - UK,30+ days ago,AstraZeneca,4.1,,Cambridge CB4 0FZ,Experience in using multiple data-centric programming languages to enable big data analysis (e.g. Python).The programme’s variety and flexibility provides you…,
120,Data Scientist (Motor Insurance Pricing),4 days ago,Cuvva,,"£50,000 a year",London,Be on top of claims data and reporting.Negotiate pricing changes with our insurers and use data to make recommendations.Head of Data & Pricing Analytics.,
121,Data Scientist - FaaS Live Panel,5 days ago,GroupM Data & Technology,,,London,"Experience analyzing large volumes of data.Exploratory data analysis, hypothesis testing, data preparation, and product prototyping based on modern statistical…",
122,2021 Graduate Consultant,19 days ago,BAE Systems Applied Intelligence,3.5,,London,"Carrying out research, data collection and analysis.You will creatively apply data science approaches to develop analytic results which turn data into…",
123,International Data Scientist,30+ days ago,Admiral,3.5,,Cardiff CF10 2EH,Advise other data divisions on best practices in data science.Industry experience in data science is an advantage.MSc / PhD in a quantitative discipline.,
124,Data Scientist - London,30+ days ago,Dataiku,,,London,"Understanding of relational data structures and SQL.Our ideal candidate is comfortable learning new languages, technologies, and modeling techniques while…",
125,Data Engineer / Scientist – Python (AVP),30+ days ago,Credit Suisse,3.9,,London,Work closely with data scientist to build data pipeline for structured and unstructured data.Work with partners including the Software and Data teams to assist…,
126,Applied Scientist (remote),12 days ago,Yelp,3.4,,London,"Experience with data analysis/statistical software and packages (pandas/statsmodels/sklearn within Python, R, etc.).",
127,Junior Machine Learning Engineer - London,30+ days ago,Echobox,,,London,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…",
128,Senior Data Scientist,30+ days ago,Zopa Limited,2.3,,London,"You will also support other data scientists by knowledge sharing, code review, collaboration on common utilities and analytical infrastructure.",
129,Data Scientist,30+ days ago,Jagex,4.3,,Cambridge,Collaborate with data engineering teams to build model deployments and data pipelines.Build tools and data services to enable data-driven decision making.,
130,Principal Scientist in data driven drug discovery,Today,Novo Nordisk,4.1,,Oxford,"As our new Principal scientist in statistical genomics, you will join the Department of Genetics to lead projects focusing on integrating human genetics data…",
131,Data Science & Analytics Internships,10 days ago,King.com,,,London,BPU stands for Business Performance Units and they are data driven teams who support the day to day functioning of our titles.,
132,Post-Doctoral Fellow – Ecosystem Modeller/Data Scientist,26 days ago,The James Hutton Institute,4,"£31,365 a year",Aberdeen,Collaborative research with experimental scientists and technical support.Experience with/knowledge of GIS software for data manipulation and extraction.,
133,Data Scientist - Demand Forecasting,25 days ago,RAC,3.2,,Walsall,You may be an established data scientist with strong data & analytical skills and working knowledge of relational databases and ETL.,
134,Junior Data Scientist - London,30+ days ago,Echobox,,,London,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…",
135,Data Scientist,30+ days ago,GSK,4.2,,Brentford,Ability communicating complex data science concepts.Communicating complex data science concepts to business stakeholders.,
136,Data Scientist - AI/Machine Learning,30+ days ago,RB,3.6,,Kingston upon Hull,"You will be familiar with Design Thinking, Statistics, building Supervised and Unsupervised machine learning models, and data cleansing techniques using various…",
137,Machine Learning SME,9 days ago,Barclays,3.9,,Northampton NN4 7SG,"Hands-on query tuning, optimization and rewriting to fetch humongous amount of data.Requirement study for arriving at set of data attributes/elements for Model…",
138,Data Scientist,30+ days ago,Vyn SmartVideoNotes,,,London,"Good knowledge of data structures, data modelling and software architecture.This data is stored, analysed and labelled on the AWS cloud.",
139,Senior Data Scientist,30+ days ago,Spot Intelligence,,,London EC2A,"Help build the platform by designing and productising machine learning models.Adhere to good coding practices, use git and use test driven development.",
140,Data Scientist Forensics (happy to talk flexible working),30+ days ago,Grant Thornton,3.7,,London,"Knowledge of data query and programming languages, such as SQL, Python.Uses interactive visualisation tools such as Tableau to present and explore data…",
141,Sr. Data Scientist - ML Labs,11 days ago,AWS EMEA SARL (UK Branch),3.6,,London,Strong communication and data presentation skills.Analyze and extract relevant information from large amounts of historical data to help automate and optimize…,
