Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2274622345,2020-11-24,Kia Canada Inc.,Marketing Data & Budget Analyst,"Mississauga, Ontario, Canada","At Kia, we live and breathe our slogan - the Power to Surprise. As a brand with just over 20 years of presence in Canada, we are a young company with a fast-paced , collaborative and innovative workplace culture. We’re creating award-winning products and redefining what value means in the automotive industry. It takes a special group of individuals to do what we do, and we do it together. Our people thrive on thinking differently and challenging the status quo. We are creating something special here, a culture of learning and opportunity, where you can help Kia achieve big things and most importantly, feel passionate and connected to your work every day.",Mid-Senior level,Full-time,AnalystAdministrativeMarketing,Automotive
2321127830,2020-11-24,The Home Depot Canada,"QA Automation Engineer, mat leave contract (Askuity)","Toronto, Ontario, Canada","Askuity is a Toronto-based retail analytics software company operating as an innovative new division within The Home Depot. Askuity’s mission is to enable suppliers and merchants at The Home Depot to make profitable, data-driven decisions and drive real-time retail execution.  We are looking for a dynamic QA Analyst, eager to deliver high quality SaaS based products. You are passionate about quality, producing top-notch work, and constantly improving your skills. As a member of the Product Development team at Askuity, you will help design and execute test strategies to ensure delivery of high quality software that has a meaningful and immediate impact on our growing customer base. You are hardworking, fun, friendly, enthusiastic, and looking for an opportunity to be part of a fast-paced organisation that’s doing something disruptive in the market.       Must Have",Associate,Contract,Quality Assurance,Retail
2321124037,2020-11-24,Adoc Talent Management,Senior IT business analyst - data governance,"Montréal-Est, Quebec, Canada","FRENCH VERSION BELOW   We are recruiting, for a major insurance firm, a data governance specialist for a 6-month renewable term . This team will be growing over the next few months. The mandate is currently done remotely, otherwise the position is based in Montreal or St-Hyacinthe (if Montreal, plan 2 trips per month to St-Hyacinthe).        Assets    Nous recrutons, pour une grande firme d'assurance, un spécialiste de la gouvernance de données pour un mandat de Cette équipe va être amenée à grandir d'ici les prochains mois. Le mandat se fait pour le moment à distance, sinon le poste est basé à Montréal ou St-Hyacinthe (si Montréal, prévoir 2 déplacements par mois à St-Hyacinthe).        Atouts",Associate,Full-time,Business DevelopmentSales,Information Technology and ServicesComputer SoftwareResearch
2321118123,2020-11-24,Bayshore HealthCare,Retail Data Analyst,"Markham, Ontario, Canada","Job Summary  The purpose of the Data Analyst position will be involved in creating analysis for Retail Business activities, and system efficiencies and accuracy.      ON-Markham",Entry level,Full-time,Information Technology,"Mental Health CareHealth, Wellness and FitnessHospital & Health Care"
2321104930,2020-11-24,Workhoppers,Business Analyst (Healthcare experience),"Toronto, Ontario, Canada","Job Description  Role: This role will be supporting the current business analyst team with multiple projects that are already underway on a project involving the Salesforce platform. Resource will assist with gathering business requirements, presenting business solutions, training, and other duties. They will work closely with public health nurses and contract tracers.        Our team has more than 2 years of experience as an IT consulting service provider in finance, telecom, health, and other major industries to guide companies of all sizes through complex, costly and expanding IT issues with their budget and goals in mind.",Associate,Full-time,Business DevelopmentSales,Marketing and AdvertisingInformation Technology and ServicesFinancial Services
2303347736,2020-11-24,PointClickCare,Intermediate Database Analyst,"Mississauga, Ontario, Canada","PointClickCare is the leading cloud-based software provider for the senior care market in North America. Driven by a passion for innovation and technology, we build innovative healthcare technology for seniors and their caregivers that improve their quality of life and well-being on a daily basis. Recently named one of Deloitte’s fastest growing technology companies and Canada’s best managed companies, PointClickCare provides vast opportunities and a great culture for our employees. We believe work is much more meaningful when you're doing it with a higher purpose. For more information on PointClickCare, please connect with us on Glassdoor and LinkedIn .    To ensure a successful “no hassle” implementation of client’s data migration with a focus on data quality and integrity of core configuration setup and data conversion. Work directly with Project Management and Clients as a consultant on database related issues. Provide Support to other departments with production and non-production database related tasks. Work with other Technical Services team members to enhance and/or optimize current processes.      It is the policy of PointClickCare to ensure equal employment opportunity without discrimination or harassment on the basis of race, religion, national origin, status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law. PointClickCare welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.  When you apply for a position, your information is processed and stored with Lever, in accordance with Lever’s Privacy Policy . We use this information to evaluate your candidacy for the posted position. We also store this information, and may use it in relation to future positions to which you apply, or which we believe may be relevant to you given your background. When we have no ongoing legitimate business need to process your information, we will either delete or anonymize it. If you have any questions about how PointClickCare uses or processes your information, or if you would like to ask to access, correct, or delete your information, please contact PointClickCare’s human resources team here recruitment@pointclickcare.com",Entry level,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareFinancial Services
2320967656,2020-11-24,League Inc.,"Senior Analyst, Finance Planning & Analysis","Toronto, Ontario, Canada","As Senior Analyst, Financial Planning & Analysis (FP&A) , you will work with the FP&A team and key business partners to help develop forecasts, financial plans and report on performance and KPI attainment on a monthly, quarterly and annual basis.  You will support the FP&A team and Key Internal stakeholders through financial and strategic analysis, business modeling, and creative thinking.        We believe that diverse teams perform better, and that fostering an inclusive work environment is a key part of growing a successful team. We welcome people of diverse backgrounds, experiences, and perspectives. We are an equal opportunity employer, and we are committed to working with applicants requesting accommodation at any stage of the hiring process.",Associate,Full-time,FinanceSales,Computer SoftwareInternetStaffing and Recruiting
2303346080,2020-11-24,"Dragados Canada, Inc.",Senior Estimator - Claims,"Windsor, Ontario, Canada",Responsibilities Develop the estimate plan and coordinate estimate development with the project team    To be Considered Candidates: Must be authorized to work in the country where the position is located.,Associate,Full-time,ManagementManufacturing,ConstructionCivil Engineering
2303343069,2020-11-24,iA Financial Group (Industrial Alliance),Sales Deals Support Analyst,"Greater Toronto Area, Canada","Description  Working at iA Clarington Investments, the Sales Deals Support Analyst role reports into the AVP Inside Sales (primary report) and into the Team Lead, Product Management (secondary report) to support Sales Deals.  The following are the primary duties & responsibilities of the Sales Deals Support Analyst role:",Entry level,Full-time,Customer ServiceInformation Technology,Information Technology and ServicesInsuranceFinancial Services
2301971982,2020-11-24,CN,Category Analyst,"Montreal, Quebec, Canada","At CN, everyday brings new and exciting challenges. You can expect an interesting environment where you’re part of making sure our business is running optimally and safely―helping keep the economy on track. We provide the kind of paid training and opportunities that long-term careers are built on and we recognize hard workers who strive to make a difference. You will be able to thrive in our close-knit, safety-focused culture working together as ONE TEAM. The careers we offer are meaningful because the work we do matters. Join us!    Reporting to the Category Manager, the Senior Category Analyst, Procurement and Supply Management will support all analytical activities necessary to deliver on the category management strategies, and support strategic sourcing events. The Senior Category Analyst will also monitor the delivery of key contracts, capture of financial savings through negotiation of contract terms, conditions and monitoring of supplier performance.  The Senior Category Analyst, Procurement and Supply Management will work with Category Manager to analyze and present data during the baseline, strategize and deliver phases of the category management process, and develop sourcing project plan, prepare procurement process documentation and manage the event through to evaluation and final recommendation. The Analyst will also ensure that the process follows the CN Procurement Policy and obtains all of the appropriate approvals.     Experience in a similar role     CN is a world-class transportation leader and trade-enabler. Essential to the economy, to the customers, and to the communities it serves, CN safely transports more than 300 million tons of natural resources, manufactured products, and finished goods throughout North America every year. As the only railroad connecting Canada’s Eastern and Western coasts with the Southern tip of the U.S. through a 19,500 mile rail network, CN and its affiliates have been contributing to community prosperity and sustainable trade since 1919. CN is committed to programs supporting social responsibility and environmental stewardship. At CN, we work as ONE TEAM, focused on safety, sustainability and our customers, providing operational and supply chain excellence to deliver results.  CN is an employment equity employer and we encourage all qualified candidates to apply. We thank all applicants for their interest, however, only candidates under consideration will be contacted. Please monitor your email on a regular basis, as communication is primarily made through email.",Associate,Full-time,MarketingSales,Information Technology and ServicesComputer SoftwareFinancial Services
