title,location,description
Data Scientist,"Boston, Massachusetts 02210","Fidelity TalentSource is your destination for discovering your next temporary role at Fidelity Investments. We are currently sourcing for a Data Scientist to work at Fidelity in Boston, MA.
At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business partners, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.
These positions are all located in Boston, MA.
The AIML (Artificial Intelligence and Machine Learning) team contributes to the vitality and growth of the organization through researching and building complex, cutting edge and scalable AI algorithms, models, platforms and technologies to significantly improve customer experience and drive business results. Our team of high caliber scientists, mathematicians and statisticians use rigorous quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand.
Minimum Master’s Degree in Engineering, Computer Science, Mathematics, Computational Statistics, Operations Research, Machine Learning or related technical fields.
Advanced knowledge in model evaluation, tuning and performance, operationalization and scalability of scientific techniques and establishing decision strategies.
Hands on experience developing supervised and unsupervised machine learning algorithms (regression, decision trees/random forest, neural networks, feature selection/reduction, clustering, parameter tuning, etc.),
Experience in evaluating and making decisions around the use of new or existing tools for a project.
Experience in projects involving large scale-multi dimensional databases, complex business infrastructure, and cross-functional teams. Three to five successfully launched ML projects would be ideal.
Programming skills in Python, Spark, Scala, R or MatLab
Your solid skills in algorithm development and predictive modeling
You have deep knowledge of some combination of the following:
Natural Language Processing (NLP)
Deep Learning, Neural Networks
Real Time Event Detection and Scoring
Time series analysis, Econometrics
Robotic Process Automation
Cloud ML
You will partner with business stakeholders to identify/prioritize top AI opportunities, create business/technical requirements, transform large volumes of data into AI-driven solutions using creative, cutting edge open source methods/technologies, lead ML strategy and road map planning, work across teams and influence the direction of external teams. The ideal candidate will combine experienced AI/ML/Open Source/Tech knowledge with hands on experience building algorithms/models/programming and outstanding business skills (revenue/cost drivers, customer experience, customer journey, communication, etc.) to manage and deliver complex/critical projects driving significant value to Fidelity.
At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and furthering a work environment that attracts the best talent and reflects our commitment to our associates.
We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skillset and developing your professional network, consider a role with Fidelity TalentSource.
For information about working at Fidelity TalentSource, visit FTSJobs.com.

Fidelity TalentSource, formerly Veritude, is the in-house temporary staffing provider for Fidelity Investments, one of the largest and most diversified global financial services firms in the industry. We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skill set and developing your professional network, consider a role with Fidelity TalentSource. For information about working at Fidelity TalentSource, visit FTSJobs.com.

At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit FidelityCareers.com.
Fidelity Investments and Fidelity TalentSource are equal opportunity employers.​
"
Data Scientist 3,"Canoga Park, California","Aerojet Rocketdyne is an innovative company delivering solutions that create value for its customers in the aerospace and defense markets. The company is a world-recognized aerospace and defense leader that provides propulsion and energetics to the space, missile defense and strategic systems, tactical systems and armaments areas, in support of domestic and international markets. Additional information about Aerojet Rocketdyne can be obtained by visiting our website at www.Rocket.com.
Aerojet Rocketdyne seeks a Data Scientist to work at our Canoga Park, California location, supporting the Scheduling & Material Planning organization.
The Data Scientist role is responsible for data processing, analysis tasks, analyzing information, identifying trends, monitor data quality, creation of data models and visualizations. Gains insight into key business problems and deliverables by applying statistical analysis techniques to examine structured and unstructured data from multiple disparate sources.
This data scientist role includes data model development, analysis, testing, creating end-user guidelines and producing quality production applications. Other responsibilities include, interfacing with personnel across the enterprise to gather requirements, troubleshoot data related issues, identifying root-cause of data issues and resolution. 
70% - Data Development & Management 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions, automate collection processes and visualizations.
Designs and implements processes and solutions associated with a wide variety of data sets used for data/text mining, analysis, modeling, and predicting to enable informed business decisions. 
Development, testing (including software upgrades), data validation and maintenance of Qlik applications (Data Models, Algorithms & Visualizations).
Identify valuable data sources and undertake preprocessing of structured and unstructured data.
Data mapping of Oracle tables with focus in Material Requirement Planning (MRP) related modules, such as Advanced Supply Chain Planning (ASCP) and Design to Build (D2B).
Understanding of relationships between data; Experience working with and creating data architectures.
Effectively uses current and emerging technologies. 
Coordinate with different functional teams to gather requirements, implement models and monitor outcomes; including, but not limited to: Integration, User Acceptance, Regression and Post-Production Testing.
Develop non-recurring work, such as, proof of concept / ad-hoc applications and reporting using, but not limited to, VBA, .NET and SQL Developer.
30% - Business Process Development & Data Support
Work with analysts, process customers and other key stakeholders to process, interpret and put data into consumable formatting for various business needs (i.e. Continuous Improvement (CI) events, special projects, company initiatives).Assist in development & continuous improvement of Site / Enterprise-wide standard work.
Create & maintain user guidelines and lead dashboard & reporting reviews with end-users.
A Bachelor's degree in an appropriate discipline and five (5) years of directly related experience, or an equivalent combination of education and experience.
Qualifications:
Demonstrated skills, including the ability to plan, organize, coordinate, and operate across organizational functions.
Customer service oriented with a demonstrated desire to meet expectations and the ability to serve multiple customers and deliver an excellent experience.
Must demonstrate critical thinking and problem-solving aptitude with an analytical mind.
Must be a skilled communicator, with well-developed verbal, written and presentation ability.
Proficiency in Business Intelligence software, SQL Developer, Microsoft Excel, PowerPoint and SharePoint. 
Prior experience with Oracle ERP and MRP is highly desirable.
Prior experience in Qlik is highly desirable.
Prior experience in .NET is highly desirable.
Prior industry experience is desirable, but not required.
Understanding of data architecture, table hierarchy and data relationships.
Perform data profiling to identify and understand anomalies.
Develop data-driven solutions to assist leadership with difficult business challenges.
Communicate technical information to a wide audience both verbally and in writing.
Operate effectively within a team environment.
U.S. Citizenship required. Must be able to obtain and maintain a U.S. Security Clearance at the appropriate level (U.S. Citizenship required). Must also be able to satisfy federal government requirements for access to government information, and having dual citizenship may preclude you from being able to meet this requirement.

Physical Requirements and Work Environment
Employees in this position must possess mobility to work in a standard office setting and to use standard office equipment, including a computer; stamina to sit and to maintain attention to detail despite interruptions; may occasionally lift/carry/push/pull up to 15 pounds; may require minimal walking, climbing, stooping, crouching, and/or bending; and vision to read printed materials and a computer screen, and hearing and speech to communicate in person and over the telephone. May require the ability to travel by air or auto. May require the use of personal protective equipment such as safety glasses, safety shoes, and shop coat. This position may be expected to work varying shifts and hours to ensure successful operation of activities in the organization.
"
Data Scientist,"Hampton, Virginia","Infoscitex, a DCS company, is an employee owned organization with a reputation for agile and efficient development of technology solutions for U.S. Defense, Aerospace, Human Factors, and Security markets. We continue to provide innovative solutions with our multidisciplinary teams formed with exceptional employees. Infoscitex is seeking a Software Engineer with Data Science experience to join our team. As this Software Engineer/Data Scientist, you will use software and systems engineering methodologies to research, develop, implement, and test established programmatic and quantitative methods to find patterns and relationships in large data sets.  In this role, you could expect to conduct mathematical, statistical or other data-driven problem-solving analysis to identify operations or intelligence questions by internal and external customers. 
Please note this is a very math intensive opportunity; if you are extremely comfortable discussing and applying mathematical principles learned in undergraduate Calculus 1-3; including Differential Equations, Linear Algebra, and Statistics; then you may thrive in this role.
Requirements:
Due to the sensitivity of customer related requirements, U.S. Citizenship is required.
MS degree in Electrical Engineering, Computer Engineering, Computer Science, Mathematics, or a related discipline; and at least 3 years of related experience developing software, researching and providing data science solutions to the Department of Defense or the Intel Community in the areas of data understanding and insight, big data including using cloud computing, or artificial intelligence and machine learning. (We have multiple levels associated with this opportunity. Candidates with more advanced degrees or varying experience may be considered for alternative classification.)
Applicants selected will be subject to a U.S. Government background investigation and must meet eligibility requirements for access to classified information: ability to obtain TS/SCI.
Proficiency in compiled programming language: C/C++, Fortran, etc.
Experience using Python, R, Java, or other computer languages in a Linux environment to implement data science, machine learning, or artificial intelligence solutions that process, transform, and extract information from data.
Experience applying machine-learning techniques on a variety of different data types (e.g. images, text, time series, etc.).
Extremely comfortable researching, discussing and applying mathematical principles to data science problems.
Strong skills in MS Office suite.
Ability to work in a highly collaborative team environment.
Excellent verbal and written English communication skills with ability to prepare and deliver clear presentations on research and development plans, project status, technical issues, and results.
Demonstrated ability and react effectively to time critical situations to achieve project success.
Ability to travel (8-10 short travel trips per year are anticipated)
"
Senior Data Scientist-100% REMOTE (Local candidates preferred),"Alexandria, Virginia 22302",
DATA SCIENTIST,"PITTSBURGH, Pennsylvania 15220","DATA SCIENTIST
Highmark Health seeks Data Scientist in Pittsburgh, PA to develop, coordinate, & mng analytics, models, health outcome studies & rltd forecasting, as well as actual results analysis rltd to portfolio of activities focused on operating margin imprvmnts.
Apply at https://careers.highmarkhealth.org, using keyword J165655
"
Data Scientist,"New York City, New York 10009","***US Citizen and Green Card holders only***
 
You will apply your communications skills working closely with business partners, data scientists, data engineers, and technical implementation teams across the company to establish model monitoring and reporting plans.
You will help to establish scalable monitoring and reporting capability for the data science team and our business partners using various programs, libraries, and visualization tools to monitor and report on a wide variety of model types.
You will participate in other model governance activities like data validation or helping with model validation activities.
Responsibilities:
Work with Business Partners, Tech teams, and CDSAi team to define/confirm monitoring requirements:Data sourcesMetrics/KPIs
Data sources
Metrics/KPIs
Build of system/ dashboards to monitor:Business metricsStatistical model performance and real-time monitoring and alertingReview reporting results with Business Partners on a regular basis,
Business metrics
Statistical model performance and real-time monitoring and alerting
Review reporting results with Business Partners on a regular basis,
Provide insights based upon monitoring results
Owner of performance reports and related presentations.
Partner with technical team for monitoring solution(s) and daily operations
Develop monitoring libraries to streamline the monitoring process
Determine to time for model re-fit when model performance deteriorates
Coordinate model refit with data scientists
Maintain and report on statistics of model usage, errors, and exceptions.
Participation in ad-hock model governance activities such as data review/validation
Qualifications:
Education: Master’s degree
Expert with BI tools such as Tableau, Shiny, Dash, Power BI, Qlik
Working experience with databases and writing complex queries (SQL, Hive, Hadoop)
Portfolio of completed BI/Reporting experience
2+ years in a similar role
Some formal training in statistics and/or machine learning
Good understanding of statistical models and machine learning concepts, software (R, Python)
Experience working with Data Scientists and Business Partners
Excellent communication skills
"
"Advanced Data Scientist, NLP","Atlanta, Georgia","Honeywell is charging into the Industrial IoT revolution with the establishment of Honeywell Connected Enterprise (HCE), building on our heritage of invention and deep, on-the-ground industry expertise. HCE is the leading industrial disruptor, building and connecting software solutions to streamline and centralize the assets, people and processes that help our customers make smarter, more accurate business decisions. Moving at the speed of software, we are creating, innovating and delivering solutions fast, challenging the way things have always been done, piloting new ways for all of us to work, and expecting our successes to set new standards for our customers and for Honeywell.
HCE provides cloud-based Enterprise Performance Management offerings in a variety of domains such as Buildings, Industrial Plants and Aero enabling customers with faster innovation, efficient operations and improving the value of their assets. Powering all the HCE offerings is the underlying platform -- Honeywell Forge which provides an open and extensible foundation to unify operations and leverage the innovative capabilities consistently across the customer business units.
Were looking for a new team member who is motivated by cracking tough challenges with data, trained in problem solving, and with an unending thirst for learning. As a Sr Data Scientist, you will join a high-performing, global team, and assist with designing, developing, and deploying data driven solutions for all Honeywell business groups and functions. You will work closely with application architects to integrate results into operational platforms, including big data and NoSQL architectures. We are looking for a Sr Data Scientist with Natural Language Processing (NLP) experience to help us improve our NLP products and create new NLP applications. NLP responsibilities include transforming natural language data into useful features using NLP techniques to feed classification algorithms. To succeed in this role, you should possess outstanding skills in statistical analysis, machine learning methods and text representation techniques. The ultimate goal is to develop efficient self-learning NLP applications.
Responsibilities:
Designing and developing APIs to support keyword as well as multi-lingual Natural Language query interfaces
Foster relationships with business team members by being proactive, displaying a thorough understanding of the business processes and by recommending innovative solutions 
Communicate project output in terms of customer value, business objectives, and product opportunity 
Promote data science methods and processes across functions
Work with our businesses and platform teams to develop a strategy that will clearly outline how our enterprise solutions can enable business growth & productivity
YOU MUST HAVE
Bachelors Degree in Computer Science; if Bachelors degree is not in Computer Science then must have 5 years of programming experience 
	3 year of experience in Natural Language Processing, not all in Computational Linguistics
	2 years of experience with distributed storage and compute tools (e.g. Hive and Spark)
	1 year experience with semantic object models (SDM)
WE VALUE
Masters or PhD degree in Computer Science, Engineering, Computational Linguistics, Applied Mathematics or related field
	Experience with semantic object models
	Experience with natural language interfaces to databases, question answering, and conversational agents
	Experience with federated search and big data queries
	Experience with graph and NoSql databases
	Experience designing REST APIs in Swagger
	Experience with micro-services
	Ability to effectively design software architecture
	Knowledge of Python, Java, and R
	Knowledge of OWL and RDF
	An analytical mind with problem-solving abilities
JOB ID: req248741
Category: Engineering
Location: 715 Peachtree Street, N.E.,Atlanta,Georgia,30308,United States
Exempt

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status.
"
Data Scientist,"Maryland Heights, Missouri","Our client is in need of a Data Scientist. This is a 6 month right to hire opportunity in St. Louis, MO. If you’re that person, submit your resume now!
LRS Consulting Services has been delivering the highest quality consultants to our clients since 1979. We've built a solid reputation for dealing with our clients and our consultants with honesty, integrity, and respect. We work hard every day to maintain that reputation, and we're very interested in candidates who can help us. If you're that candidate, this opportunity is made for you!
Our client is seeking a Data Scientist who will be responsible for:
Connecting data points and helping draw analytical insights from disparate data sources and on pieces of information that may or may not be connected today.  They should have a background in statistics, and/or visual data displays, and/or general data science.
Qualifications:
-5 years’ experience as a Data Analyst or Data Scientist
-Experience with predictive analytics
-Candidate must be able to effectively communicate in English (written & verbal)
 
To apply go to jobs.lrs.com.
 
LRS is an equal opportunity employer. Applicants for employment will receive consideration without unlawful discrimination based on race, color, religion, creed, national origin, sex, age, disability, marital status, gender identity, domestic partner status, sexual orientation, genetic information, citizenship status or protected veteran status.
 
 
Optional Skills:
-Understanding of predictive analytics techniques leveraging machine learning algorithms
-Past experience with Tableau, Spotfire, or similar preferred
-Experience with Alteryx or similar a plus
-Ability to explain insights uncovered from analyses
-Background in statistics a plus
-sql, r, matlab, etc a plus
-experience with Hadoop Hive a plus
"
Data Scientist/Statistician,"Bensalem, Pennsylvania 19020",
Data Scientist (GS 12 Equivalent),"Washington, District of Columbia","The Research and Policy (RP) Division of the Office of Maternal Child Health and Nutrition (MCHN) is a multidisciplinary unit that provides technical leadership, guidance, and coordination to advance the integrated use of policy and engagement, monitoring, evaluation and research and other relevant approaches to accelerate the uptake, scaling up, and sustained and effective use of maternal, newborn, child, environmental health and nutrition programming. The RP division working in collaboration with USAID staff and partners undertakes analysis as well as manages and provides technical guidance to activities that includes monitoring, evaluation and research, policy, and community health. Division staff use a range of analytical, technical, and engagement/ policy tools to support efforts to reduce mortality, severe morbidity, and advance sustained development to support the achievement of the goals of Preventing Child and Maternal Deaths and contributes to activities to advance other GH goals, including AIDS Free Generation, the President’s Malaria Initiative and the overall development objectives of the Agency.

Job Requirements
The Data Scientist will provide technical support to guide the application of USAID MCHN technical and financial resources to the highest priority problem areas and interventions, at both headquarters and field program levels. The Scientist will conduct analysis and serve as well as a technical advisor on awards related to data management, analysis, visualization, and dissemination. 
Provide technical expertise and support to USAID on program monitoring, evaluation, and research
Maintain in-depth knowledge of MCHN monitoring evaluation, and research related data design and reporting requirements, environmental compliance, open access, as well as data management and use strategies and other agency related requirements in order to provide informed advice to the MCHN Office’s (and to other USAID operating units) program monitoring, evaluation, and research efforts
Provide support in the development and implementation of MCHN data-related strategies, analysis strategies, and activities. 
Analyze MCHN related data and information to respond to queries and in order to prepare reports and presentations, including reports to Congress, and annual reports
Serve as a subject matter expert on data use/analysis, working in collaboration with program/technical stakeholders, to facilitate interpretation and dissemination MCHN-related data and research for program decision making and action.
Conduct routine program data review and trend analysis of MCHN data, including but not limited to, data compilation and management, data verification, and completeness checks, analysis of longitudinal/panel and cross-sectional data, and comparative analysis of results from various data collection systems.
Consult with MCHN program experts to understand where data analytics and research will most effectively support MCHN’s strategic objectives. Strengthen their capacity to effectively use analyses of MCHN monitoring, evaluation, and research data for the purposes of program accountability, oversight, and management.
Support data analysis and data use initiatives within the MCHN office, and provide technical support on data science activities across the continuum of maternal, newborn, child health and nutrition programs., including triangulation of survey, surveillance, and other country data sources, as appropriate.
Assist USAID/MCHN subject matter experts with data- focused analytical thinking for improved planning, monitoring, evaluation, and reporting of MCHN programs.
Design, develop and deliver high quality visualization, presentations, and other information products to support USAID operations at all stages of the development programming cycle including collaborative work with USAID staff working on external communication.
Translate complex data analysis concepts and requirements into clear, digestible, and useable information for both technical and non-technical team members.
Contribute to the MCHN knowledge base by preparing reports and publications, including, but not limited to, technical updates for country missions, peer-reviewed manuscripts, and by presenting internally and at international meetings/conferences, as needed.
Support country programs in monitoring and evaluation to ensure USG investments reflect the efficient use of resources.
Serve as a subject matter expert to USAID and its partners to support effective and efficient activity management 
Serve as a technical advisor for one or more MCHN managed activities providing input related to monitoring, evaluation, and research
Review and advise USAID collaborating agencies on the data analysis plans, protocols, and on project/activity work plans
Liaise with USAID-funded projects to coordinate and help design data analyses of use to USAID 
Engage in technical discussions with various USAID implementing partners working on data science, monitoring, evaluation, and research, as well as other USG and non-USG partners working various dimensions of MCHN measurement, 
Engage in other duties as assigned.
Contribute public health expertise and participate in working groups and task forces
Participate in the GH Bureau M&E and research teams to provide technical leadership, quality control, and guidance on MCH data collection, analysis, and reporting requirements
Serve as a member of a GH country support team to support needs of USAID country missions 
Participate in USG related task forces and collaborative efforts to facilitate the sharing of best practices across USG programs vis-a-vis data science and research activities.
Build MCHN, implementing partner, and Mission capacity to standardize and automate data collection, management, and display of MCHN-related data to make rapid data analysis and ideally real-time use more efficient, transparent, reproducible, and effective.
Professional Development 
Participate in professional continuing education, skills training and professional meetings to enhance relevant technical skills and career development
Complete and execute an Individual Learning and Training Plan and Annual Work Plan

Master's degree in public health or a related field and 5years relevant experience or a Bachelor's degree and 7 years of relevant experience or equivalent combination of education and experience. 
At least 5 years of professional experience with two or more public health or related technical disciplines such as data science; statistics; epidemiology; Maternal, newborn and child health; Nutrition; HIV AIDS; program monitoring and evaluation; research.
Demonstrated skills in data analysis and visualization, preferably relating to MCHN or other public health programs.
Knowledge of statistical software (e.g. STATA, SAS, R) and/ or other data science tools relevant to public health (e.g. GIS, Tableau, ggplot2, Weka, Excel).
Experience working in low- and middle-income countries or similar resource constrained setting, preferably with a maternal and child health public health program
Ability to produce quality work products on short notice that meet customer needs
Demonstrated skills in project management of USAID or similar activities preferred
Strong interpersonal, facilitation and team building skills, and ability to work across agencies and cross-culturally with diverse teams on sensitive issues.
Ability to travel domestically and internationally up to 20% time. 
US Citizenship or US Permanent Residency with the able to obtain and maintain facility access.
Preferred qualifications
Experience with Tableau Desktop and Tableau Prep Builder or equivalent data visualization and management tools
Analysis of longitudinal/panel data preferably including multi-level and random effect models
Experience analyzing survey data at the individual and household level such as the Demographic and Health Survey (DHS) or Multiple-Indicator Cluster Survey (MICS)
Experience with econometric methods such as propensity score matching, synthetic control, use of instrumental variables, difference in differences approaches
Proficiency in monitoring and evaluation, including analysis of routine reporting systems, and the design and implementation of evaluations and research studies
"
